question_id,geometry,method,itq_seed,gold_mean,gold_median,non_gold_mean,non_gold_median,nearest_gold,nearest_non_gold,separation_non_gold_minus_gold_mean,gold_minus_non_gold_mean
0a995998,COSINE,FLOAT96_CENTERED,,0.5995499359142449,0.5005128782753638,-0.0022117547001980677,-0.043646922638329526,0.8204158957854106,0.7096724202355437,-0.601761690614443,0.601761690614443
0bb5a684,HAMMING,SIGN96_CENTERED,,31.0,31.0,47.77440347071583,48.0,25.0,21.0,16.774403470715832,
0bb5a684,HAMMING,ITQ96_CENTERED,101.0,13.0,13.0,48.286334056399134,49.0,8.0,8.0,35.286334056399134,
0bb5a684,HAMMING,ITQ96_CENTERED,202.0,11.5,11.5,48.130151843817785,49.0,5.0,3.0,36.630151843817785,
0bb5a684,HAMMING,ITQ96_CENTERED,303.0,13.5,13.5,48.03470715835141,49.0,7.0,9.0,34.53470715835141,
0bb5a684,HAMMING,ITQ96_CENTERED,404.0,11.0,11.0,48.20390455531454,50.0,5.0,5.0,37.20390455531454,
0bb5a684,HAMMING,ITQ96_CENTERED,505.0,8.5,8.5,47.872017353579174,49.0,3.0,5.0,39.372017353579174,
0bb5a684,COSINE,FLOAT96_UNCENTERED,,0.8596810998330013,0.8596810998330013,0.08399652647187994,0.04020825667495041,0.9282363050576143,0.9154303038350846,-0.7756845733611214,0.7756845733611214
0bb5a684,COSINE,FLOAT96_CENTERED,,0.8476548645710997,0.8476548645710997,-0.0031706481388231967,-0.03506775971768652,0.922360633631628,0.9081560912749388,-0.8508255127099229,0.8508255127099229
0bc8ad92,HAMMING,SIGN96_CENTERED,,37.333333333333336,37.0,48.50681818181818,49.0,33.0,29.0,11.173484848484847,
0bc8ad92,HAMMING,ITQ96_CENTERED,101.0,33.0,39.0,47.847727272727276,49.0,14.0,12.0,14.847727272727276,
0bc8ad92,HAMMING,ITQ96_CENTERED,202.0,34.0,43.0,47.90909090909091,49.0,16.0,11.0,13.909090909090907,
0bc8ad92,HAMMING,ITQ96_CENTERED,303.0,29.333333333333332,36.0,47.88181818181818,49.0,12.0,11.0,18.54848484848485,
0bc8ad92,HAMMING,ITQ96_CENTERED,404.0,28.333333333333332,32.0,47.93863636363636,49.0,14.0,9.0,19.60530303030303,
0bc8ad92,HAMMING,ITQ96_CENTERED,505.0,31.333333333333332,35.0,48.125,49.5,15.0,13.0,16.791666666666668,
0bc8ad92,COSINE,FLOAT96_UNCENTERED,,0.5071591839329187,0.39508087180042584,0.0908336975947656,0.0420091399836957,0.8321237865691464,0.8243508621727234,-0.4163254863381531,0.4163254863381531
