question_id,N_archive,word_columns,char_columns,combined_columns,base_rep_fit_seconds,svd96_fit_seconds,itq96_fit_seconds_5seeds,query_transform_seconds,centered_doc_norm_min,centered_doc_norm_max,centered_query_norm
gpt4_385a5000,493,38378,58898,97308,1.6085991209999975,4.413660794999942,1.4739470609999898,0.02941568799997185,0.8454471297410947,1.0283238208257302,0.9695906266161359
gpt4_45189cb4,501,39588,56979,96599,1.243120695000016,4.05043081000008,1.1828337669996927,0.027452437999954782,0.8275171134677893,1.0104094007983604,0.9506582574408844
gpt4_468eb063,498,37974,59874,97880,0.8478519160000815,3.7966423569998824,1.413948813999923,0.05267396300018845,0.8171742651613078,1.0108780485512265,0.9686694287760396
gpt4_468eb064,460,39234,57522,96788,1.3939515449999362,5.626203130000022,1.1277030490005018,0.01887449299988475,0.8468923686819613,1.0010446909450423,0.9689527708847384
gpt4_483dd43c,532,40958,63408,104398,1.1425152720000824,4.59821461599995,1.1508497909999278,0.0304894600001262,0.8376122052481813,1.0015285488365784,0.9641681452375543
gpt4_4929293a,486,39974,55504,95510,1.2662123909999536,4.981541195000091,1.8049173839995092,0.04050095500019779,0.8431883382009312,1.0124741130582746,0.9909964332897537
gpt4_4929293b,469,39955,57840,97827,1.4731805800001894,5.612009324000155,1.1438567159998456,0.03513079399999697,0.8548805907993797,1.001056106708843,0.8980481897978687
gpt4_4cd9eba1,500,40543,56714,97289,1.617622468000036,4.4904651920001015,1.1914560119998896,0.02562354199994843,0.8584179388043099,1.0120445031985148,0.9326380404516713
gpt4_4edbafa2,460,39823,58204,98059,1.4684265469998081,3.9099467799999275,1.5362077600002522,0.13324809599998844,0.856239421381762,1.0038901127731732,0.9715898428102168
gpt4_4ef30696,520,39619,58452,98103,1.512132961999896,5.217065132000016,1.4839662169999883,0.02775722000001224,0.8472601596341262,1.0165058400714757,0.9227380502057254
gpt4_4fc4f797,472,38032,56110,94174,1.422938522000095,4.188816501000019,1.1995581610003683,0.02389034999987416,0.8421737857302257,1.0072941033281968,0.9785394536904339
gpt4_5438fa52,513,38693,56933,95658,1.0094286349999493,4.913044677000016,1.6486616039996989,0.04655146999994031,0.8484868405240582,1.0158166919494918,0.9131516560521546
gpt4_5501fe77,516,38957,53102,92091,1.5686840620001021,4.440099769999961,1.4517150829999537,0.031917755999984365,0.8453015028938743,0.9969110680195752,0.932349391946939
gpt4_59149c77,484,40216,59189,99437,1.497934745000066,6.9438366319998295,1.6580277619996195,0.09983231299997897,0.8453182181381163,1.0011639746839782,0.9728547923826084
gpt4_59149c78,497,41296,61144,102472,1.9975923800000146,4.799624834999804,1.3374264349995428,0.0497375910001665,0.842674801088629,1.0293445058150603,0.9428314206391453
gpt4_59c863d7,481,38109,57242,95383,1.8999628200000416,4.936084194999921,1.5301408909999736,0.05480383899998742,0.8601596772828998,1.0054373920706596,0.9497126871242966
gpt4_5dcc0aab,547,38561,55879,94472,1.412873331000128,5.74370035600009,1.5947791930000221,0.021484541000063473,0.8306641233951667,1.009118976161037,0.9625699900287028
gpt4_61e13b3c,467,39376,58419,97827,1.4229325139999673,3.9554964920000657,1.202586291000216,0.03073546699988583,0.8564418868305823,1.0101589223881755,0.9491436538261633
gpt4_65aabe59,452,38639,58389,97060,1.200539015000004,4.161301567999999,1.2211327540001093,0.016213998000011998,0.8587467343549459,0.9992669048323951,0.9644772268552786
gpt4_68e94287,491,38376,54879,93287,1.7541465580000022,5.255812480000031,1.244090763000031,0.03837281999994957,0.8151347209557113,1.0127240828260224,0.9447676074295697
gpt4_68e94288,459,38270,57500,95802,1.3310135600002013,4.888627750000069,1.3785493200002747,0.20523042800004987,0.8603053178305579,1.0122172557967888,0.9526195903021488
gpt4_6dc9b45b,565,37826,57268,95126,2.1093949979999707,4.167833454999936,1.6710361040002226,0.07347045500000604,0.8294506535106135,1.02967856904368,0.9903316766129204
gpt4_6ed717ea,489,39563,54336,93931,1.8724817610000173,5.514478493999832,1.28540251000004,0.021273992000033104,0.8416990993603375,1.0106432749157743,0.9730587147773947
gpt4_70e84552,467,38283,58028,96343,1.505189952000137,5.000787448999972,1.1501741839997521,0.027654504999873097,0.844858502076497,1.007769932932931,0.9591411374631835
gpt4_731e37d7,525,37821,57224,95077,1.6556077230000028,4.333153733000017,1.4520142859998941,0.05877102900012687,0.8293185560532439,1.0211174497623514,0.9683461613905411
gpt4_74aed68e,480,39256,57342,96630,1.0747739840001032,4.120108856999877,1.1550961949999419,0.01716710999994575,0.8339028519824236,1.0061709193295454,0.9829485163146486
gpt4_76048e76,482,37726,55675,93433,1.424832748999961,5.0168271650002225,1.222005043999843,0.0775942519999262,0.830068940457289,1.0023553753186187,0.9882113646745194
gpt4_78cf46a3,505,39087,56744,95863,1.2423812430001817,4.78103870200016,2.0627997880003477,0.053526150999914535,0.8516060106879709,1.0148052039497406,0.9470564895632081
gpt4_7a0daae1,561,39043,59208,98283,1.3388277799999742,3.7518870180001613,1.3311027739998735,0.022299604000181716,0.8407796144190391,1.0256383995542502,0.9206023918694923
gpt4_7abb270c,467,38448,59291,97771,0.9820996439998453,4.283379449999984,1.4693744109997624,0.04818588199987062,0.8595891840621184,1.021309484403716,0.9269213376511876
gpt4_7bc6cf22,519,39929,58723,98684,1.5428245880000304,5.674926845000073,1.3378963459997522,0.027881928999931915,0.8340407198271831,1.0179027039511848,0.9152336884183694
gpt4_7ca326fa,516,39224,57879,97135,1.9424035639999602,4.990354931999946,1.3519548469994334,0.03178021200005787,0.854268922074193,1.0195189529964126,0.9768843284186132
gpt4_7ddcf75f,480,40096,60705,100833,2.622962382999958,4.811900557999934,1.3139160589998937,0.031046306999996887,0.8378185706382101,1.0169021690449063,0.9861988606857431
gpt4_7de946e7,533,38535,54433,93000,1.3136397550001675,5.077820542999916,1.5352632209999229,0.021178387999952974,0.8142574307491908,1.0050533115668876,0.8941043505764787
gpt4_7f6b06db,558,38085,58905,97022,2.1231893059998583,5.1129988129998765,1.2544564600000285,0.02898836300005314,0.8479871569234823,1.0278429827977844,0.9277734719186196
gpt4_7fce9456,497,39476,56487,95995,1.4022278790000655,4.931198497999958,1.2595532489997368,0.02828646199986906,0.8542326380285387,1.0055573770465562,0.9465655845843884
gpt4_8279ba02,489,38828,60482,99342,2.093443306000154,3.82999992200007,1.474981367999817,0.045051333000174054,0.8357885946416975,1.0130284687374334,0.9501641629570133
gpt4_8279ba03,500,40157,54979,95168,2.563554397999951,4.162055479999935,1.272143819999883,0.06692805099987709,0.8435494045629532,0.997428772424513,0.893746589873569
gpt4_85da3956,505,40617,61115,101764,1.9359651689999282,5.4473770659999445,1.389838114999975,0.06094631699988895,0.8275651247431312,1.0117786085681253,0.9927576531722726
gpt4_88806d6e,493,39679,55535,95246,2.097154937000141,4.3999474810000265,1.3824343720000343,0.18639595500008,0.8261589738797082,1.0032489719294595,1.0027754184722764
gpt4_8c8961ae,485,39271,56167,95470,1.810868937000123,4.80465661900007,1.4727769729995543,0.029433123999979216,0.8472026845713053,1.0038674161230838,0.975418825451052
gpt4_8e165409,480,39313,58682,98027,1.0706839869999385,4.477055630999985,1.1894824910000352,0.028720518000000084,0.851927705802332,1.0074844983463913,0.9623591044425915
